0.05,0.151,0.0082,0.0098
0.15,0.153,0.0083,0.0099
0.25,0.154,0.0085,0.01
0.35,0.156,0.0082,0.0098
0.45,0.159,0.0081,0.0099
0.55,0.164,0.0084,0.01
0.65,0.168,0.0091,0.011 
0.75,0.174,0.0086,0.011 
0.85,0.182,0.0078,0.01
0.95,0.189,0.0084,0.011 
1.05,0.195,0.0086,0.011 
1.15,0.204,0.0082,0.01
1.25,0.212,0.0082,0.011 
1.35,0.219,0.0083,0.011 
1.45,0.230,0.008, 0.011 
1.55,0.236,0.0079,0.01
1.65,0.246,0.0082,0.011 
1.75,0.251,0.0079,0.011 
1.85,0.260,0.0076,0.01
1.95,0.265,0.0078,0.011 
2.05,0.269,0.0074,0.01
2.15,0.270,0.0076,0.011 
2.25,0.270,0.0078,0.011 
2.35,0.269,0.008, 0.01
2.45,0.263,0.0079,0.01
2.55,0.252,0.0083,0.01
2.65,0.240,0.0085,0.011 
2.75,0.227,0.0095,0.011 
2.85,0.203,0.010, 0.011 
2.95,0.175,0.011, 0.011 
